state-code,male-percentage,female-percentage
"=""=""01""""",0.38122515385613026,0.29117622441096874
"=""=""02""""",0.07757276940367015,0.07010580545747651
"=""=""03""""",0.4653425962128936,0.3922785813631753
"=""=""04""""",0.023158653593253926,0.01933338228967796
"=""=""05""""",0.1401050328956977,0.11857030611444476
"=""=""06""""",0.4133707596231874,0.32001734204391385
"=""=""07""""",0.4895059504026582,0.4098193710854485
"=""=""08""""",0.6011963433044161,0.4628025392879559
"=""=""09""""",1.8872897990906536,1.4508595483062587
"=""=""10""""",1.350139829710918,1.134167173602076
"=""=""11""""",0.018276662256519867,0.0159439136129066
"=""=""12""""",0.03878686603396371,0.03840246226689227
"=""=""13""""",0.05700673109930428,0.057342539570025816
"=""=""14""""",0.06482613197307419,0.06258842139834478
"=""=""15""""",0.02237392177953083,0.019960866272970588
"=""=""16""""",0.09375643912082839,0.08265497455865593
"=""=""17""""",0.044977438984422066,0.04545012682673254
"=""=""18""""",0.8572712930575938,0.8109429748461514
"=""=""19""""",1.1219824643068401,0.8767859056593336
"=""=""20""""",0.7233224980871781,0.6636365572332047
"=""=""21""""",0.7230229490591222,0.6455850326495642
"=""=""22""""",0.2527749366792343,0.23591202343708328
"=""=""23""""",0.7567453988795981,0.6525288823925322
"=""=""24""""",1.584943268703189,1.266760308652615
"=""=""25""""",0.007926577494413346,0.005552050443980317
"=""=""26""""",0.011063418976748285,0.009958053384979196
"=""=""27""""",3.301855131999577,2.9128822528143385
"=""=""28""""",1.3409287372092122,1.171124397467525
"=""=""29""""",1.3659868878261154,1.3456229790073897
"=""=""30""""",0.030815203763501258,0.032819267377850236
"=""=""31""""",0.0007866571422376454,0.0006244205952537714
"=""=""32""""",0.4105864137030585,0.4110915280626962
"=""=""33""""",1.5387753349206021,1.4259012750125655
"=""=""34""""",0.02772039862040072,0.025163009727623635
"=""=""35""""",0.01612976051875076,0.014327295669511785
