state-code,male-percentage,female-percentage
"=""=""01""""",0.2019599016386885,0.14252651114298293
"=""=""02""""",0.032165500828374195,0.02498499284492114
"=""=""03""""",0.7033611733804246,0.5864808747689709
"=""=""04""""",0.028648406964415105,0.024408735517167185
"=""=""05""""",0.017573275572536625,0.013324546651459124
"=""=""06""""",0.10929897444264058,0.083280416283256
"=""=""07""""",0.11897134356762455,0.10495848174023055
"=""=""08""""",0.10314016941267234,0.06193302654625367
"=""=""09""""",0.24820581122611501,0.17676957320600437
"=""=""10""""",0.16501268700037985,0.11131960700291799
"=""=""11""""",0.015952469851369035,0.013951179693629849
"=""=""12""""",0.03797164985209354,0.030954685191532355
"=""=""13""""",0.04919102043852058,0.03929441875087293
"=""=""14""""",0.057157388055568026,0.04434645619162196
"=""=""15""""",0.005569654504515118,0.003106275471401427
"=""=""16""""",0.020720225029572967,0.011816849171668128
"=""=""17""""",0.025791219448818944,0.019432431836267684
"=""=""18""""",0.4229765444703764,0.292078732564861
"=""=""19""""",0.28709135034644956,0.18578597514548367
"=""=""20""""",0.15498252765977483,0.106721461556593
"=""=""21""""",0.538965393724916,0.3686390966202101
"=""=""22""""",0.03933285711188227,0.030194624581446953
"=""=""23""""",0.12163744222815137,0.08506398887476854
"=""=""24""""",0.8313026224973501,0.576820480588434
"=""=""25""""",0.0035066650011719314,0.0021692191079598173
"=""=""26""""",0.007100611561670251,0.0046393309966251866
"=""=""27""""",1.8379632034359001,1.4073291446505436
"=""=""28""""",0.615524638109717,0.42683104561812135
"=""=""29""""",0.7250618719560336,0.5638393737737757
"=""=""30""""",0.06342705991916592,0.058872701895435094
"=""=""31""""",0.0010324574159288698,0.0006034874436549124
"=""=""32""""",0.2782191156633051,0.2475823405475594
"=""=""33""""",0.22625690571617166,0.1764802532245567
"=""=""34""""",0.006547560945864997,0.005251327851499147
"=""=""35""""",0.006713941418330923,0.005252348980845432
