state-code,male-percentage,female-percentage
"=""01""",0.482269603180712,0.570516708757363
"=""02""",0.44890751068054335,0.48060984376960963
"=""03""",1.180111180598,1.2513654222515613
"=""04""",0.04135685871280577,0.03706103868232148
"=""05""",0.6666467630483339,0.7102848091595793
"=""06""",1.642479946476124,1.6145777269609356
"=""07""",0.8334856241447671,0.8127949631038652
"=""08""",4.99960917435595,5.0910401568833175
"=""09""",14.62777981618369,14.596725923364254
"=""10""",7.193454432410924,7.233510951805402
"=""11""",0.017605524825155382,0.019035212520562502
"=""12""",0.03778441165405329,0.044637478055313415
"=""13""",0.05820107655449845,0.06569759006956068
"=""14""",0.10882903384104685,0.13425723550853608
"=""15""",0.061157258044551195,0.06915224083626995
"=""16""",0.18625579916569676,0.21178886376042738
"=""17""",0.168586898943604,0.1861547730277172
"=""18""",1.2771408386376109,1.4950943610226868
"=""19""",6.101155720477199,6.50520286930743
"=""20""",1.8380631600746142,1.9624936842511727
"=""21""",2.141372515163398,2.5192377407622817
"=""22""",1.7668537618555833,1.8973776273443217
"=""23""",5.15628759554896,5.2214632218847745
"=""24""",2.636339178565456,3.0831014514521438
"=""25""",0.012681657593229806,0.008097045151373312
"=""26""",0.012923607209891925,0.01092216967609738
"=""27""",4.204933038855193,4.8922945186394475
"=""28""",4.853136117398369,5.573543344649166
"=""29""",2.8773668837571904,3.2180773918322405
"=""30""",0.024348346171204596,0.03074229028750491
"=""31""",0.0034952734741274948,0.004107492795434662
"=""32""",1.8826972488072742,2.2989675468398287
"=""33""",4.0330905698375235,4.525935603849494
"=""34""",0.06400578158183187,0.07773040809796825
"=""35""",0.009705741485902895,0.010664504704384594
